steam_id,app_id,playtime_forever
76561198229455804,374280,72
76561198299509495,220,677
76561198299509495,340,6
76561198299509495,240,169
76561198299509495,380,210
76561198299509495,400,133
76561198299509495,420,54
76561198299509495,1250,6
76561198299509495,10180,622
76561198299509495,50300,68
76561198299509495,55100,20
76561198299509495,620,149
76561198299509495,55150,12
76561198299509495,42680,477
76561198299509495,42690,155
76561198299509495,67370,48
76561198299509495,207610,305
76561198299509495,12110,405
76561198299509495,227300,3875
76561198299509495,109600,826
76561198299509495,34870,325
76561198299509495,3910,27
76561198299509495,35450,6
76561198299509495,242760,557
76561198299509495,254060,1
76561198299509495,16700,33
76561198299509495,40970,898
76561198299509495,40950,300
76561198299509495,271590,2454
76561198299509495,310560,14
76561198299509495,323850,2
76561198299509495,15700,2
76561198299509495,730,281494
76561198299509495,333930,38
76561198299509495,353090,211
76561198299509495,389570,40
76561198299509495,397900,1456
76561198299509495,412470,1
76561198299509495,415660,4
76561198299509495,359550,57075
76561198299509495,436150,16
76561198299509495,444090,196
76561198299509495,550650,2
76561198299509495,436520,39
76561198299509495,578080,5490
76561198299509495,582500,72
76561198299509495,601510,1
76561198299509495,506540,12
76561198299509495,617670,13
76561198299509495,218620,216
76561198299509495,670290,94
76561198299509495,368070,609
76561198299509495,732730,15
76561198299509495,755790,26
76561198299509495,788260,152
76561198299509495,905370,681
76561198299509495,916930,1066
76561198299509495,893520,1089
76561198299509495,374280,364
76561198299509495,1262540,96
76561198299509495,1262580,187
76561198299509495,203160,22
76561198299509495,34270,1
76561198299509495,1510460,51
76561198299509495,1551360,191
76561198299509495,1590320,194
76561198299509495,1782210,113
76561198299509495,1797880,21
76561198299509495,1818750,8
76561198842864947,220,2548
76561198842864947,500,5
76561198842864947,550,35268
76561198842864947,207610,1827
76561198842864947,218620,15
76561198842864947,238320,31
76561198842864947,730,19
76561198842864947,1218900,40
76561198977243342,224260,1
76561198977243342,253710,3079
76561198977243342,218620,128
76561198977243342,286200,1
76561198977243342,227940,69
76561198977243342,335240,11
76561198977243342,380600,105
76561198977243342,397900,903
76561198977243342,422250,1
76561198977243342,457330,89
76561198977243342,485610,5
